399,1,45,1,0.33
319,0,50,0,0
404,1,40,3,0.66
416,0,20,2,0.33
459,0,45,3,1
380,0,56,2,0.66
426,1,30,3,0.66
366,0,19,0,0.33
422,1,60,0,0
475,0,50,3,0.33
381,1,85,3,0.66
425,1,18,1,0.66
420,1,76,0,0.66
362,0,51,3,0
510,0,40,2,1
396,1,31,2,0
419,0,30,3,0.33
437,1,53,1,0.33
328,1,50,3,0.33
405,0,64,2,0.33
250,1,65,2,0
470,0,60,0,0.66
361,1,65,3,0.66
320,1,44,0,0
470,0,40,1,0.66
420,1,50,0,0.33
379,1,31,3,0.33
393,1,50,2,0
419,0,50,3,0.66
303,0,57,3,0
490,0,40,3,1
302,0,71,1,0
380,1,45,2,0.66
308,0,65,2,0.33
300,0,56,0,0
422,0,28,1,0.66
477,1,71,0,1
396,1,84,3,0.33
450,1,100,3,0.66
432,1,63,1,0.33
443,1,31,3,0
492,1,80,3,1
265,1,40,0,0
322,0,95,2,0
374,0,30,1,0.33
430,0,72,0,0.33
462,0,30,2,1
448,1,50,2,0.66
408,0,64,0,0.33
457,1,80,0,0.33
440,0,35,2,0.66
385,1,50,2,0